# Benchmark Case 4 Pad Interface Force Results: Denoted by node and degree of freedom
Time,1101_1,1101_2,1101_3,1101_4,1101_5,1101_6,1102_1,1102_2,1102_3,1102_4,1102_5,1102_6,1103_1,1103_2,1103_3,1103_4,1103_5,1103_6,1104_1,1104_2,1104_3,1104_4,1104_5,1104_6
0.01,200779.902271,-6059.61355626,-6040.26020571,-2825.17963885,-2463021.86119,2853008.64941,199222.024646,6059.64510935,-6031.84883342,3024.29169292,-2442736.00041,-2846918.33512,111894.378231,515.205827315,531.81695222,2756.91110124,2098947.33751,-1708960.98924,113453.456564,-515.236979053,540.292301666,-2956.06895714,2119263.10226,1715081.19477
0.011,200760.972802,-6059.52704831,-6040.1740606,-2825.17053395,-2462716.3689,2852703.1571,199203.095055,6059.55872178,-6031.76264231,3024.2866183,-2442430.50527,-2846612.83998,111875.448678,515.119740978,531.730899586,2756.91187144,2098641.84352,-1708655.49526,113434.526968,-515.150765001,540.206287718,-2956.0737579,2118957.60701,1714775.69948
0.012,200740.170952,-6059.38308947,-6040.03048026,-2825.16103967,-2462385.09307,2852371.88124,199182.293081,6059.41487149,-6031.61899898,3024.28128948,-2442099.22655,-2846281.56133,111854.646747,514.976192557,531.587385119,2756.91264587,2098310.5662,-1708324.21794,113413.724987,-515.007098864,540.062827083,-2956.07869811,2118626.32823,1714444.42063
0.013,200717.456874,-6059.17442718,-6039.82221204,-2825.15115872,-2462027.94186,2852014.73,199159.578878,6059.20629566,-6031.41064205,3024.27568461,-2441742.07249,-2845924.40738,111831.932597,514.767909294,531.379135879,2756.91342074,2097953.41385,-1707967.06559,113391.010778,-514.79871815,539.854655573,-2956.08374942,2118269.17419,1714087.26643
0.014,200692.812663,-6058.89393684,-6039.54213119,-2825.1408958,-2461645.16537,2851631.95347,199134.934545,6058.92586099,-6031.13043938,3024.26978735,-2441359.29324,-2845541.62831,111807.28833,514.487749281,531.099009793,2756.91419271,2097570.63671,-1707584.28846,113366.366441,-514.518489696,539.574638547,-2956.0888874,2117886.39504,1713704.48707
0.015,200666.240231,-6058.53483165,-6039.18345073,-2825.13025546,-2461237.30497,2851224.09303,199108.361996,6058.56677433,-6030.7715986,3024.26358755,-2440951.43021,-2845133.76551,111780.715861,514.128912867,530.740207093,2756.91495941,2097162.77625,-1707176.428,113339.793888,-514.159620291,539.215981725,-2956.09409502,2117478.53221,1713296.62397
0.016,200627.57051,-6058.30157791,-6038.95098404,-2825.11052984,-2460615.25959,2850602.04761,199069.692144,6058.33338937,-6030.53869927,3024.25165205,-2440329.38142,-2844511.71679,111742.04624,513.895788887,530.507153347,2756.9165891,2096540.73324,-1706554.38497,113301.12404,-513.926617658,538.983350752,-2956.10351534,2116856.48367,1712674.57531
0.017,200586.696001,-6057.97332151,-6038.62353329,-2825.09034204,-2459964.90229,2849951.69028,199028.817504,6058.00497443,-6030.21078415,3024.23939546,-2439679.02076,-2843861.35624,111701.171844,513.567621381,530.179056147,2756.91821944,2095890.37873,-1705904.03043,113260.249406,-513.598597082,538.655706334,-2956.11307742,2116206.12332,1712024.21479
0.018,200543.338233,-6057.54074191,-6038.19178155,-2825.06960107,-2459282.44196,2849269.22991,198985.459602,6057.57222425,-6029.77854766,3024.22680588,-2438996.55696,-2843178.89257,111657.814194,513.135121665,529.746627211,2756.91985875,2095207.92133,-1705221.573,113216.89151,-513.166254453,538.223748668,-2956.12286872,2115523.65988,1711341.75114
0.019,200497.238377,-6056.99538666,-6037.64728006,-2825.0482131,-2458564.33466,2848551.12255,198939.359601,6057.02670237,-6029.23355301,3024.21387108,-2438278.44594,-2842460.78169,111611.71445,512.589870488,529.201447744,2756.9215166,2094489.81684,-1704503.46849,113170.791514,-512.621154415,537.679046879,-2956.13298035,2114805.54923,1710623.64027
0.02,200448.159267,-6056.32969396,-6036.98247078,-2825.02608247,-2457807.31459,2847794.10241,198890.28033,6056.36086223,-6028.56825349,3024.20057552,-2437521.42178,-2841703.75766,111562.635435,511.924337777,528.535988151,2756.92320317,2093732.79921,-1703746.45084,113121.712248,-511.955751569,537.014059975,-2956.14350267,2114048.52542,1709866.61624
0.021,200395.887029,-6055.53701266,-6036.19070637,-2825.00311303,-2457008.4189,2846995.20663,198838.00791,6055.5680659,-6027.77601137,3024.18689735,-2436722.52151,-2840904.85748,111510.363267,511.131900056,527.743625448,2756.92492915,2092933.90538,-1702947.55698,113069.439831,-511.163409226,536.222155346,-2956.15452066,2113249.62545,1709067.71606
0.022,200340.232282,-6054.6116208,-6035.26626863,-2824.97920945,-2456165.0058,2846151.79343,198782.352957,6054.64260134,-6026.85111533,3024.17280626,-2435879.10325,-2840061.43928,111454.708558,510.206856642,526.818659435,2756.92670517,2092090.49339,-1702104.14497,113013.784879,-510.238416734,535.297625878,-2956.16610997,2112406.20741,1708224.29785
0.023,200281.030899,-6053.54874296,-6034.20438583,-2824.9542786,-2455274.76568,2845261.5532,198723.151341,6053.57969899,-6025.78879714,3024.15826199,-2434988.85733,-2839171.19337,111395.50718,509.144445324,525.756328364,2756.92854161,2091200.25355,-1701213.9051,112954.583263,-509.176006054,534.235706361,-2956.17833385,2111515.96164,1707334.05193
0.024,200218.144331,-6052.34456657,-6033.00124896,-2824.92823094,-2454335.72528,2844322.51267,198660.264511,6052.37554756,-6024.58524747,3024.14321384,-2434049.81044,-2838232.14644,111332.620582,507.940857712,524.552824266,2756.93044825,2090261.21255,-1700274.86408,112891.696432,-507.972367572,533.032589184,-2956.19124092,2110576.91482,1706395.00499
0.025,200151.459487,-6050.9962568,-6031.65402656,-2824.9009818,-2453346.24487,2843333.03211,198593.579378,6051.02730882,-6023.23763069,3024.12760133,-2433060.32289,-2837242.6588,111265.935674,506.593253892,523.205307603,2756.93243404,2089271.73073,-1699285.38224,112825.011296,-506.62466487,531.685439074,-2956.20486436,2109587.42724,1705405.51735
0.026,200080.888209,-6049.5019691,-6030.16087723,-2824.87245263,-2452305.0091,2842291.79618,198523.007787,6049.53313044,-6021.74409765,3024.11135578,-2432019.07938,-2836201.41514,111195.364307,505.099775623,521.711920465,2756.93450707,2088230.49289,-1698244.14439,112754.439699,-505.131047538,530.192405929,-2956.21922207,2108546.18363,1704364.27369
0.027,200006.36637,-6047.86085822,-6028.52095856,-2824.84257214,-2451211.01203,2841197.79893,198448.485612,6047.89215575,-6020.10379525,3024.09440301,-2430925.07401,-2835107.40959,111120.842361,503.459556679,520.071796893,2756.93667433,2087136.49325,-1697150.14472,112679.917518,-503.49066086,528.552634603,-2956.2343182,2107452.1781,1703270.26815
0.028,199927.85263,-6046.07308212,-6026.73443109,-2824.81127721,-2450063.53701,2840050.32372,198369.971518,6046.10452874,-6018.31687124,3024.07666676,-2429777.59025,-2833959.92561,111042.328503,501.672728813,518.285068866,2756.93894181,2085989.01542,-1696002.66687,112601.403417,-501.703650715,526.766269957,-2956.25014557,2106304.69415,1702122.78421
0.029,199845.326906,-6044.13979926,-6024.80245543,-2824.77851375,-2448862.13271,2838848.91922,198287.445428,6044.17139246,-6016.38447246,3024.05807248,-2428576.17687,-2832758.51199,110959.802664,499.740421417,516.352865949,2756.94131451,2084787.60831,-1694801.25973,112518.87732,-499.771161954,524.834455423,-2956.26668874,2105103.28057,1700921.37063
0.03,199769.702778,-6041.83745026,-6022.50110216,-2824.75356793,-2447809.99004,2837796.77631,198211.820947,6041.86928921,-6014.08290321,3024.04436773,-2427524.02589,-2831706.36096,110884.178312,497.439121272,514.051635649,2756.94286525,2083735.46114,-1693749.11256,112443.252827,-497.469573241,522.533398314,-2956.27948176,2104051.12943,1699869.21928
0.031,199690.435716,-6039.39990702,-6020.06461284,-2824.72716537,-2446708.99689,2836695.78291,198132.553534,6039.43194567,-6011.64613491,3024.02969536,-2426423.02443,-2830605.35945,110804.911059,495.002567685,511.615156447,2756.94452177,2082634.46421,-1692648.1156,112363.985402,-495.032776129,520.097154316,-2956.29286976,2102950.12784,1698768.21749
0.032,199607.904381,-6036.83643832,-6017.50225376,-2824.69937006,-2445564.50672,2835551.29248,198050.021859,6036.86860643,-6009.08341451,3024.01402973,-2425278.52613,-2829460.86112,110722.379583,492.439979944,509.052647391,2756.94628035,2081489.97136,-1691503.62273,112281.453718,-492.470014523,517.534962228,-2956.30675934,2101805.62952,1697623.71892
0.033,199522.488339,-6034.15755177,-6014.82452983,-2824.6702508,-2444381.79348,2834368.57899,197964.605495,6034.18976124,-6006.40523301,3023.99736468,-2424095.80512,-2828278.14007,110636.963464,489.761828381,506.374578608,2756.94813765,2080307.25683,-1690320.90817,112196.037349,-489.791777066,514.857306517,-2956.3210722,2100622.90858,1696440.99772
0.034,199434.560376,-6031.37509278,-6012.04328363,-2824.6398785,-2443165.92056,2833152.70581,197876.677232,6031.40724559,-6003.62342586,3023.97971626,-2422879.92486,-2827062.2598,110549.035495,486.979936666,503.592773616,2756.95009121,2079091.38419,-1689105.03548,112108.109085,-487.009897716,512.076018223,-2956.33575101,2099407.02851,1695225.11737
0.035,199344.479454,-6028.50229347,-6009.17174446,-2824.60832392,-2441921.62417,2831908.40916,197786.596036,6028.53429066,-6000.75122279,3023.96112381,-2421635.62161,-2825817.95652,110458.95464,484.107532771,500.720460315,2756.95213983,2077847.08963,-1687860.74088,112018.027891,-484.13760572,509.204325134,-2956.35076311,2098162.72555,1693980.81412
0.036,199252.58453,-6025.55376267,-6006.22451838,-2824.57565556,-2440653.21501,2830639.99973,197694.700861,6025.58551349,-5997.803238,3023.94164908,-2420367.20601,-2824549.54087,110367.059854,481.159239321,497.772261331,2756.95428362,2076578.68374,-1686592.33492,111926.132722,-481.189515813,506.256842055,-2956.36610192,2096894.31032,1692712.39861
0.037,199159.189388,-6022.54541044,-6003.2175128,-2824.54193815,-2439364.50147,2829351.28593,197601.305486,6022.57684081,-5994.79539417,3023.9213735,-2419078.48637,-2823260.82115,110273.664908,478.150996964,494.764117397,2756.95652407,2075289.97463,-1685303.62575,111832.737357,-478.181552169,503.249494678,-2956.38178561,2095605.59111,1691423.67916
0.038,199064.578616,-6019.49430347,-6000.16779196,-2824.50723188,-2438058.73681,2828045.52101,197506.694495,6019.52536317,-5991.74477677,3023.90039389,-2417772.7158,-2821955.05043,110179.054378,475.099917123,491.713140089,2756.95886388,2073984.21519,-1683997.86622,111738.126377,-475.130802564,500.199373529,-2956.3978535,2094299.82096,1690117.90881
0.039,198969.004828,-6016.41845136,-5997.09336316,-2824.47159202,-2436738.59148,2826725.37542,197411.120494,6016.44911904,-5988.66941853,3023.87881683,-2416452.56455,-2820634.89894,110083.480859,472.024064261,488.63739407,2756.96130644,2072664.07539,-1682677.72635,111642.552389,-472.055302691,497.12451795,-2956.41436024,2092979.67009,1688797.75783
0.04,198872.687156,-6013.33652645,-5994.01289662,-2824.4350695,-2435406.15121,2825392.9349,197314.802603,6013.36681224,-5985.58801723,3023.85675231,-2415120.11814,-2819302.45219,109987.163461,468.942170911,485.555612087,2756.96385539,2071331.64049,-1681345.29136,111546.234512,-468.973753655,494.043633179,-2956.43136858,2091647.22396,1687465.3117
0.041,198775.811011,-6010.2675237,-5990.94538532,-2824.3977119,-2434062.94017,2824049.7236,197217.926227,6010.29746906,-5982.51959326,3023.83430702,-2413776.90055,-2817959.23411,109890.287577,465.873292196,482.486849469,2756.96651394,2069988.43414,-1680002.08492,111449.358149,-465.905179256,490.975747154,-2956.44894087,2090304.00647,1686122.09436
0.042,198678.529071,-6007.23037007,-5987.90975431,-2824.35956507,-2432709.96758,2822696.75075,197120.644035,6007.26004484,-5979.48309653,3023.81157827,-2412423.92078,-2816606.25372,109793.005866,462.836409793,479.450088042,2756.96928421,2068635.46511,-1678649.11581,111352.075967,-462.868532692,487.939816735,-2956.46713064,2088951.02662,1684769.1148
0.043,198580.963391,-6004.2434954,-5984.92443153,-2824.32067524,-2431347.79535,2821334.57828,197023.078073,6004.27299245,-5976.49697533,3023.78864861,-2411061.74062,-2815244.07278,109695.440365,459.849997943,476.463802113,2756.97216651,2067273.29499,-1677286.9456,111254.510014,-459.88226508,484.954295774,-2956.48597454,2087588.84614,1683406.93477
0.044,198483.208505,-6001.32437962,-5982.00689493,-2824.28109145,-2429976.62349,2819963.40616,196925.322872,6001.35380732,-5973.57872164,3023.76558206,-2409690.55998,-2813872.8912,109597.685598,456.931566526,473.545501511,2756.97515873,2065902.12354,-1675915.77408,111156.754817,-456.963870602,482.03667988,-2956.50548546,2086217.66494,1682035.75416
0.045,198385.33536,-5998.48909252,-5979.1732121,-2824.24086809,-2428596.38918,2818583.1716,196827.449378,5998.51856586,-5970.74440965,3023.7424221,-2408310.31599,-2812492.64615,109499.812506,454.097198022,470.711268522,2756.97825583,2064521.88786,-1674535.53833,111058.881323,-454.129424873,479.203044503,-2956.52564743,2084837.42015,1680655.51012
0.046,198287.48485,-5995.75000394,-5976.4357474,-2824.20014344,-2427208.53312,2817195.31529,196729.598482,5995.77963593,-5968.00640434,3023.71923923,-2406922.44942,-2811104.7784,109401.961983,451.359256942,467.973466978,2756.98144178,2063134.02872,-1673147.67912,110961.030424,-451.391294067,476.46575253,-2956.54637665,2083449.55256,1679267.64339
0.047,198189.608788,-5993.12092253,-5973.80830964,-2824.15891468,-2425811.18161,2815797.96354,196631.722004,5993.15081278,-5965.37850323,3023.69599092,-2405525.08666,-2809707.41441,109304.085848,448.731526736,465.345880122,2756.98471224,2061736.67266,-1671750.32301,110863.153938,-448.763274768,473.838598232,-2956.56762903,2082052.18861,1677870.28039
0.048,198091.739067,-5990.61116104,-5971.30020824,-2824.117267,-2424404.18863,2814390.97032,196533.851841,5990.6413883,-5962.86999948,3023.67266781,-2404118.08186,-2808300.40834,109206.216006,446.223278966,462.837778817,2756.9880517,2060329.67402,-1670343.32432,110765.283765,-446.254659072,471.330868394,-2956.58929457,2080645.1825,1676463.27526
0.049,197993.903815,-5988.22706486,-5968.91778476,-2824.07529893,-2422987.58374,2812974.36522,196436.01613,5988.25768029,-5960.48721291,3023.6492519,-2402701.46481,-2806883.79005,109108.380602,443.840804528,460.455453109,2756.99144141,2058913.06284,-1668926.7131,110667.448041,-443.871765099,468.948874463,-2956.61123795,2079228.5641,1675046.65783
0.05,197896.132279,-5985.97177872,-5966.66417957,-2824.03312285,-2421561.668,2811548.44925,196338.244128,5986.00280152,-5958.23325858,3023.62572324,-2401275.5368,-2805457.86087,109010.608899,441.587184729,458.201983326,2756.99485981,2057487.1407,-1667500.79092,110569.676025,-441.617705809,466.695721738,-2956.63330526,2077802.63477,1673620.72942
0.051,197798.459265,-5983.8451039,-5964.53918903,-2823.99086463,-2420127.09543,2810113.87648,196240.570649,5983.87651951,-5956.10790621,3023.60206706,-2399840.95213,-2804023.27515,108912.935724,439.462153627,456.077102446,2756.99828312,2056052.56219,-1666066.21238,110472.002532,-439.492248667,464.5711695,-2956.65533212,2076368.04888,1672186.14434
0.052,197700.928954,-5981.8434555,-5962.53922287,-2823.94866229,-2418684.9367,2808671.71755,196143.039889,5981.87521668,-5954.10753994,3023.57828061,-2398398.78172,-2802581.10387,108815.40528,437.462060825,454.077158931,2757.00168614,2054610.39851,-1664624.04867,110374.471758,-437.491775636,462.571591485,-2956.6771525,2074925.87744,1670743.97355
0.053,197603.597952,-5979.95992615,-5960.65736791,-2823.90666384,-2417236.72185,2807223.50253,196045.708458,5979.99195682,-5952.22522434,3023.55437921,-2396950.55584,-2801132.87732,108718.074186,435.579940474,452.19518578,2757.00504315,2053162.18017,-1663175.8303,110277.140315,-435.609349464,460.690042687,-2956.69860802,2073477.65078,1669295.74734
0.054,197506.537429,-5978.18445837,-5958.88356059,-2823.86502405,-2415784.46019,2805771.24069,195948.647536,5978.21665982,-5950.45087893,3023.53040072,-2395498.28396,-2799680.60501,108621.013627,433.805688399,450.421077694,2757.00832889,2051709.91682,-1661723.56692,110180.079384,-433.83488838,458.916434511,-2956.71955649,2072025.37842,1667843.47521
0.055,197409.834301,-5976.50412397,-5957.20486652,-2823.82390039,-2414330.6361,2804317.41644,195851.944043,5976.53638301,-5948.77155927,3023.50640791,-2394044.4506,-2798226.77147,108524.310528,432.126345222,448.741874249,2757.0115195,2050256.09306,-1660269.74313,110083.375886,-432.155447379,457.237816452,-2956.73987938,2070571.5449,1666389.6417
0.056,197313.591388,-5974.90350482,-5955.6058614,-2823.7834483,-2412878.18073,2802864.96093,195755.700802,5974.93570303,-5947.17183881,3023.48248861,-2392591.98697,-2796774.30789,108428.067711,430.526479518,447.142143096,2757.01459353,2048803.64009,-1658817.29014,109987.132642,-430.555600131,455.638758296,-2956.75948757,2069119.08144,1664937.17799
0.057,197217.926563,-5973.36516502,-5954.06910343,-2823.74381591,-2411430.42032,2801417.20039,195660.035685,5973.39718851,-5945.6342816,3023.4587532,-2391144.21925,-2795326.54047,108332.403046,428.988660883,445.604453057,2757.01753271,2047355.88404,-1657369.53406,109891.467527,-429.017911746,454.101823055,-2956.77832508,2067671.31422,1663489.41031
0.058,197122.970936,-5971.87020118,-5952.57568379,-2823.70513857,-2409991.00296,2799977.78289,195565.079799,5971.90194991,-5944.13999238,3023.43532966,-2389704.79546,-2793887.11718,108237.447634,427.494009536,444.109923777,2757.02032287,2045916.47272,-1655930.12271,109796.511646,-427.523488712,452.60811694,-2956.79637039,2066231.89121,1662049.98665
0.059,197028.866154,-5970.39885394,-5951.10583842,-2823.66753308,-2408563.80648,2798550.58628,195470.974785,5970.43024972,-5942.66922711,3023.4123567,-2388277.59328,-2792459.91565,108143.343108,426.022805556,442.638834962,2757.02295434,2044489.28358,-1654502.93354,109702.406639,-426.052589404,451.137899787,-2956.81363569,2064804.69005,1660622.78467
0.06,196935.760935,-5968.931161,-5949.63960124,-2823.6310926,-2407152.83104,2797139.61071,195377.869352,5968.96215377,-5941.2020447,3023.38997469,-2386866.61265,-2791048.93578,108050.23817,424.555138433,441.171275959,2757.0254225,2043078.31624,-1653091.96617,109609.301217,-424.58527552,449.671236262,-2956.83016361,2063393.7106,1659211.80429
0.061,196843.806989,-5967.4476303,-5948.15747749,-2823.59588179,-2405762.08027,2795748.8598,195285.915205,5967.47820183,-5939.71897816,3023.36831605,-2385475.85699,-2789658.18093,107958.28451,423.071575595,439.687814287,2757.02772801,2041687.57378,-1651701.22368,109517.347081,-423.102082988,448.188666479,-2956.84602257,2062002.95619,1657821.04891
0.062,196745.913449,-5966.07965648,-5946.79110717,-2823.55574236,-2404260.48632,2794247.26572,195188.02145,5966.10974383,-5938.3515316,3023.34363631,-2383974.25752,-2788156.58212,107860.391321,421.703523803,438.319883165,2757.03049466,2040185.98906,-1650199.63893,109419.453342,-421.734468101,446.82176436,-2956.86425022,2060501.35796,1656319.44985
0.063,196649.231339,-5964.65757411,-5945.3705805,-2823.51680163,-2402783.11813,2792769.89739,195091.339115,5964.68723261,-5936.9299926,3023.31986891,-2382496.88355,-2786679.20873,107763.709524,420.281447183,436.897921328,2757.03312019,2038708.62904,-1648722.27887,109322.771022,-420.312772643,445.400767183,-2956.88205039,2059023.98512,1654842.07626
0.064,196553.663874,-5963.16372876,-5943.87824685,-2823.47896128,-2401329.80077,2791316.57986,194995.771403,5963.19304902,-5935.43673883,3023.29705113,-2381043.55985,-2785225.88548,107668.14231,418.787761216,435.404345191,2757.0356247,2037255.31816,-1647268.96796,109227.203324,-418.819377104,443.908063376,-2956.8995788,2057570.66238,1653388.75288
0.065,196459.106907,-5961.58313159,-5942.29912249,-2823.44208982,-2399900.02401,2789886.80292,194901.21416,5961.61223117,-5933.85680738,3023.2751757,-2379613.776,-2783796.10189,107573.585519,417.207531327,433.82422125,2757.03803196,2035825.54576,-1645839.19554,109132.646091,-417.239320349,442.328699017,-2956.91698341,2056140.87922,1651958.96927
0.066,196365.448412,-5959.9037836,-5940.62121481,-2823.40602566,-2398492.90888,2788479.68759,194807.555354,5959.93279627,-5932.17821696,3023.25418635,-2378206.65288,-2782388.97881,107479.927114,415.528792577,432.145585726,2757.04036847,2034418.43258,-1644432.08235,109038.987291,-415.560621626,440.650699395,-2956.93439608,2054733.75648,1650551.84627
0.067,196272.568137,-5958.11691461,-5938.83576101,-2823.37058161,-2397107.18373,2787093.96222,194714.674731,5958.14597824,-5930.39220553,3023.23397692,-2376820.91878,-2781003.2445,107387.046843,413.742785852,430.359680719,2757.04266258,2033032.70691,-1643046.35667,108946.106671,-413.774518118,438.865306234,-2956.95192615,2053348.02243,1649166.1122
0.068,196180.337498,-5956.21712965,-5936.93737436,-2823.33555053,-2395741.1716,2785727.94984,194622.443711,5956.24637377,-5928.49337637,3023.21439404,-2375454.8968,-2779637.22206,107294.81613,411.844103523,428.46109982,2757.04494344,2031666.69193,-1641680.3417,108853.875649,-411.875610964,436.967123549,-2956.96965659,2051982.00015,1647800.09013
0.069,196088.619773,-5954.20245818,-5934.92409311,-2823.30071189,-2394392.79006,2784379.56804,194530.725576,5954.23199221,-5926.47974763,3023.19524343,-2374106.50462,-2778288.82916,107203.098269,409.830739956,426.447838584,2757.04724018,2030318.30556,-1640331.95532,108762.15751,-409.861914955,434.954167326,-2956.98764273,2050633.60733,1646451.69776
0.07,195997.270629,-5952.07430428,-5932.79733041,-2823.26583928,-2393059.56428,2783046.34197,194439.376004,5952.10420761,-5924.35270387,3023.17629943,-2372773.26762,-2776955.5912,107111.748947,407.704044992,424.321247981,2757.0495809,2028985.07348,-1638998.72324,108670.807931,-407.734810331,432.827817459,-2957.00591349,2049300.3694,1645118.4605
0.071,195906.139021,-5949.83729947,-5930.56172677,-2823.23070803,-2391738.65379,2781725.43119,194348.24396,5949.86761404,-5922.11685083,3023.15731718,-2371452.34559,-2775634.668,107020.617147,405.468581663,422.085892077,2757.05199198,2027664.15587,-1637677.80563,108579.675879,-405.498897803,430.592673048,-2957.02447499,2047979.4462,1643797.53817
0.072,195815.068467,-5947.49906233,-5928.22490942,-2823.19510339,-2390426.89267,2780413.66975,194257.172974,5947.52978849,-5919.77977756,3023.13804651,-2370140.57289,-2774322.89395,106929.546414,403.13189196,419.749313783,2757.05449729,2026352.3875,-1636366.03726,108488.604885,-403.161761126,428.256315336,-2957.04331571,2046667.67215,1642485.76515
0.073,195723.898691,-5945.06987255,-5925.79716598,-2823.15882816,-2389120.84244,2779107.61921,194166.002783,5945.10096846,-5917.35173326,3023.11824683,-2368834.51135,-2773016.83093,106838.376503,400.704177607,417.32171561,2757.05711758,2025046.33065,-1635059.9804,108397.434687,-400.733644284,425.828985338,-2957.06241299,2045361.60915,1641179.70331
0.074,195632.467621,-5942.56226917,-5923.29104245,-2823.12171008,-2387816.85668,2777803.63313,194074.571328,5942.59365384,-5914.84522839,3023.0977016,-2367530.51481,-2771712.8328,106746.945367,398.197905241,414.815564834,2757.05986995,2023742.33955,-1633755.98927,108306.003226,-398.227053032,423.323185825,-2957.08173964,2044057.6111,1639875.70651
0.075,195540.613691,-5939.99058594,-5920.72087829,-2823.08360819,-2386511.15545,2776497.93158,193982.717052,5940.02214555,-5912.27457262,3023.07623163,-2366224.80359,-2770407.11992,106655.091464,395.627348003,412.245135075,2757.06276734,2022436.63483,-1632450.28453,108214.148947,-395.656293219,420.753220072,-2957.10127039,2042751.89837,1638569.99509
0.076,195448.178398,-5937.37043797,-5918.1022928,-2823.04441817,-2385199.90783,2775186.68365,193890.281458,5937.40203489,-5909.65536362,3023.05370603,-2364913.54692,-2769095.86155,106562.656305,393.008077427,409.625998176,2757.06581826,2021125.386,-1631139.03565,108121.713354,-393.036959882,418.13468129,-2957.12098714,2041440.64025,1637258.7383
0.077,195355.009044,-5934.71817593,-5915.45163926,-2823.00407627,-2383879.31986,2773866.09537,193797.111853,5934.74965984,-5907.00394289,3023.03005006,-2363592.95094,-2767775.26385,106469.487202,390.356421352,406.974482108,2757.0690264,2019804.79931,-1629818.4489,108028.543753,-390.38539327,415.483908906,-2957.14088263,2040120.04287,1635938.14229
